Success/Failure,File Path,Starting Confidence,Final Confidence,Iterations,SNR,Starting Class,Final Class,Queries
Success,/data/urbansound8k/fold10/187110-2-0-12.wav,-0.9999999999559511,0.13578654453158379,1,0.18661578885356017,children_playing,jackhammer,10
Success,/data/urbansound8k/fold9/149255-9-0-7.wav,-0.9999998182583525,0.1669861376285553,1,0.2162539015067792,street_music,jackhammer,10
Success,/data/urbansound8k/fold10/155280-2-0-7.wav,-0.9999967005721828,0.14148174226284027,1,0.17860213525640406,children_playing,jackhammer,10
Failure,/data/urbansound8k/fold10/157207-6-6-0.wav,-0.9999999999813604,-0.17773231863975525,20,inf,gun_shot,gun_shot,200
Failure,/data/urbansound8k/fold9/105029-7-1-7.wav,-1.0,-0.0007841736078262329,20,inf,jackhammer,jackhammer,200
Failure,/data/urbansound8k/fold9/105029-7-2-1.wav,-0.9999999999999998,-0.0022120028734207153,20,inf,jackhammer,jackhammer,200
Failure,/data/urbansound8k/fold10/157207-6-2-0.wav,-0.9999999990164052,-0.12280017137527466,20,inf,gun_shot,gun_shot,200
Success,/data/urbansound8k/fold10/73524-0-0-2.wav,-0.41701292991638184,0.08294784277677536,1,0.22810237567239866,air_conditioner,jackhammer,10
Success,/data/urbansound8k/fold10/138017-9-1-4.wav,-0.9999974157294673,0.17433162592351437,1,0.20479565995960833,street_music,jackhammer,10
Success,/data/urbansound8k/fold9/190894-2-0-5.wav,-0.9366253688931465,0.1364465393126011,1,0.20434826297062503,children_playing,jackhammer,10
Success,/data/urbansound8k/fold10/159742-8-0-12.wav,-0.9351653605699539,0.17656763456761837,1,0.20333215007682998,siren,jackhammer,10
Success,/data/urbansound8k/fold9/192123-2-0-11.wav,-0.9999999999943273,0.13844485208392143,1,0.2262907851892326,children_playing,jackhammer,10
Success,/data/urbansound8k/fold9/196066-2-0-0.wav,-1.0,0.1383601725101471,1,0.19764189256394626,children_playing,jackhammer,10
Success,/data/urbansound8k/fold10/202334-9-0-202.wav,-1.0,0.16282203793525696,1,0.18531937431938927,street_music,jackhammer,10
Success,/data/urbansound8k/fold10/28808-1-0-11.wav,-1.0,0.1162438839673996,1,0.21311448485893636,car_horn,jackhammer,10
Success,/data/urbansound8k/fold9/184449-2-0-13.wav,-0.9999999999999043,0.13802864775061607,1,0.2192145707659281,children_playing,jackhammer,10
Success,/data/urbansound8k/fold10/54086-1-2-0.wav,-1.0,0.6268374854698777,1,0.15247267005784046,car_horn,gun_shot,10
Success,/data/urbansound8k/fold9/26186-1-0-0.wav,-1.0,0.6265022270381451,1,0.177793911081364,car_horn,gun_shot,10
Failure,/data/urbansound8k/fold9/145683-6-0-0.wav,-0.9999999999999809,-0.17909112572669983,20,inf,gun_shot,gun_shot,200
Success,/data/urbansound8k/fold10/34050-7-5-0.wav,-0.9999823003399797,0.4284752830862999,1,0.29880178971729005,jackhammer,gun_shot,10
Success,/data/urbansound8k/fold10/165166-8-0-0.wav,-0.9999999991648549,0.17904807440936565,1,0.17991251576502745,siren,jackhammer,10
Success,/data/urbansound8k/fold10/83502-0-0-4.wav,-0.5346292555332184,0.07367464154958725,1,0.2575591654532205,air_conditioner,jackhammer,10
Success,/data/urbansound8k/fold9/96921-9-0-1.wav,-0.9996764760289807,0.16651562601327896,1,0.2042574186938714,street_music,jackhammer,10
Success,/data/urbansound8k/fold9/155242-9-0-12.wav,-0.9999999999297212,0.1658487804234028,1,0.18470069193816258,street_music,jackhammer,10
Success,/data/urbansound8k/fold10/100648-1-1-0.wav,-0.9999999999999913,0.6434275689534843,1,0.2739893132105785,car_horn,gun_shot,10
Success,/data/urbansound8k/fold9/159744-8-0-8.wav,-1.0,0.1772428508847952,1,0.16456377176143247,siren,jackhammer,10
Success,/data/urbansound8k/fold10/85574-3-0-0.wav,-0.9999994731508366,0.13317033648490906,1,0.16031384089050288,dog_bark,jackhammer,10
Success,/data/urbansound8k/fold10/2937-1-0-0.wav,-1.0,0.6389266976621002,1,0.20852002501215966,car_horn,gun_shot,10
Success,/data/urbansound8k/fold9/180029-4-4-0.wav,-0.9999999999964949,0.353555366396904,1,0.2700763728180639,drilling,dog_bark,10
Success,/data/urbansound8k/fold9/101729-0-0-26.wav,-1.0,0.06900079548358917,1,0.19014516960924818,air_conditioner,drilling,10
Failure,/data/urbansound8k/fold10/162134-7-16-0.wav,-0.9999999999913242,-0.00257246196269989,20,inf,jackhammer,jackhammer,200
Success,/data/urbansound8k/fold10/208652-8-4-0.wav,-0.6686521917581558,0.5707495410351839,1,0.25191977732087634,siren,gun_shot,10
Success,/data/urbansound8k/fold9/101729-0-0-12.wav,-0.9999999999999997,0.07199694216251373,1,0.20795977333217405,air_conditioner,jackhammer,10
Success,/data/urbansound8k/fold10/28808-1-0-5.wav,-1.0,0.11222907900810242,1,0.1928586824955049,car_horn,jackhammer,10
